id,postcode,latitude,longitude
1,B34,52.4964133,-1.7817039
2,IP10,52.0189774,1.2699895
3,G2,55.8629070,-4.2561591
4,GL19,51.9461577,-2.2909682
5,L36,53.4144065,-2.8417310
6,NE32,54.9677908,-1.4844933
7,L12,53.4349803,-2.8958012
8,NR28,52.8224263,1.3974920
9,SO21,51.0753776,-1.3162444
10,CV3,52.3909775,-1.4781403
11,TQ10,50.4234657,-3.8260896
12,NE37,54.9127512,-1.5279619
13,NW11,51.5783915,-0.1974603
14,ST14,52.9043124,-1.8699946
15,TN35,50.8828713,0.6140004
16,ME7,51.3797740,0.5557972
17,BB3,53.6978859,-2.4662858
18,SE14,51.4758845,-0.0424768
19,WA12,53.4533844,-2.6332824
20,GL1,51.8593662,-2.2437389
21,EC3R,51.5104555,-0.0835753
22,BS6,51.4707656,-2.6003841
23,NG22,53.1820817,-0.9786955
24,DE22,52.9340758,-1.4996719
25,BD6,53.7645222,-1.7861654
26,HR1,52.0590736,-2.6797236
27,BN10,50.7959843,0.0013219
28,PL17,50.5150098,-4.3103836
29,SA6,51.6761659,-3.9226054
30,CA15,54.7122276,-3.4809087
31,WV13,52.5851575,-2.0581222
32,DN1,53.5216788,-1.1307019
33,PH36,56.7221628,-5.8512969
34,LL12,53.0875778,-2.9891854
35,OX14,51.6675240,-1.2770907
36,CM17,51.7731801,0.1464635
37,TA11,51.0605815,-2.7024096
38,WF6,53.7003289,-1.4156390
39,G23,55.9024808,-4.2851022
40,L13,53.4184709,-2.9204372
41,GL16,51.7955780,-2.6128048
42,OL11,53.6059003,-2.1767392
43,SN26,51.6139830,-1.7881065
44,LL47,52.9020279,-4.0628852
45,ST17,52.7881373,-2.0991013
46,NE99,54.9704330,-1.6139305
47,DY11,52.3845094,-2.2621081
48,ST18,52.8150827,-2.0806107
49,DH99,54.7882304,-1.5493991
50,PE35,52.8271575,0.5090560
51,FK17,56.2399069,-4.2198630
52,CW12,53.1659013,-2.2135769
53,WV2,52.5736442,-2.1183430
54,NE16,54.9312689,-1.6926762
55,DE4,53.1268023,-1.5654429
56,BN25,50.7765238,0.1083361
57,NG33,52.8165291,-0.5808488
58,GU1,51.2430276,-0.5649390
59,ML9,55.7245642,-3.9676426
60,BT80,54.6462975,-6.7457200
61,NE65,55.3149288,-1.7484073
62,NE7,55.0001093,-1.5797332
63,SG8,52.0643705,-0.0147945
64,W6,51.4926401,-0.2287797
65,DN55,53.5129234,-1.1257209
66,FK10,56.1158189,-3.7831309
67,M46,53.5258654,-2.4922988
68,AB41,57.3739596,-2.1040725
69,KA26,55.2170854,-4.8357773
70,SN15,51.4723000,-2.0830579
71,LE16,52.4861071,-0.8959935
72,DH4,54.8540433,-1.4925925
73,WD99,51.6487760,-0.4220870
74,PH31,56.8922176,-4.8143283
75,LL18,53.3102991,-3.4760171
76,TF8,52.6293306,-2.4821233
77,PA66,56.3287392,-6.3528986
78,WD17,51.6639450,-0.4056406
79,RG17,51.4435994,-1.5030377
80,W1S,51.5112227,-0.1423455
81,TA7,51.1315610,-2.9107030
82,SY13,52.9521685,-2.6900901
83,G53,55.8211417,-4.3526677
84,PR8,53.6262751,-3.0097883
85,NP11,51.6438627,-3.1315958
86,KA12,55.6191336,-4.6651904
87,SK10,53.2756794,-2.1312485
88,WA8,53.3730238,-2.7415958
89,EC2M,51.5185932,-0.0862326
90,W13,51.5130201,-0.3212138
91,BT12,54.5929184,-5.9584163
92,FY4,53.7909588,-3.0275782
93,NN4,52.2144778,-0.8994462
94,TN27,51.1678981,0.6938213
95,G32,55.8488374,-4.1655409
96,DE72,52.8931608,-1.3588522
97,SA36,51.9577914,-4.6087195
98,BT82,54.8264822,-7.4303378
99,WF2,53.6723728,-1.5124139
100,LL15,53.1031832,-3.3161613
101,SO45,50.8468498,-1.3947660
102,CR90,51.3780681,-0.1132740
103,YO15,54.0949950,-0.1766616
104,LD8,52.2645156,-3.0484652
105,WR1,52.1956174,-2.2220478
106,RG14,51.3994972,-1.3231202
107,OX5,51.8306381,-1.2818093
108,PO39,50.6803617,-1.5401345
109,AB11,57.1392011,-2.0928839
110,TS27,54.7239957,-1.2907917
111,HP27,51.7206955,-0.8325872
112,BT9,54.5721032,-5.9500064
113,SL0,51.5259965,-0.5171775
114,NE22,55.1351381,-1.5871076
115,LE12,52.7677846,-1.1916550
116,TR4,50.2858425,-5.1375346
117,TS11,54.5876196,-1.0269506
118,IG5,51.5911739,0.0634560
119,RH5,51.1903735,-0.3438370
120,TQ1,50.4730506,-3.5235990
121,LL67,53.4111466,-4.4576366
122,LS26,53.7518196,-1.4495543
123,LL32,53.2580548,-3.8411359
124,LE21,52.6278450,-1.1405305
125,SA14,51.7350520,-4.1062507
126,CR7,51.3991799,-0.1067344
127,BA6,51.1420762,-2.7078987
128,G74,55.7689037,-4.1752217
129,IV5,57.4684807,-4.4108520
130,PA11,55.8570966,-4.5846807
131,RH20,50.9374494,-0.4705572
132,L5,53.4248813,-2.9771396
133,SE26,51.4279399,-0.0547761
134,AB16,57.1600441,-2.1566958
135,TS25,54.6630533,-1.2252844
136,BS15,51.4596293,-2.5068855
137,GU19,51.3599273,-0.6919847
138,LL51,52.9740004,-4.2389782
139,HR2,52.0098796,-2.7854912
140,ST15,52.9000776,-2.1504385
141,HP19,51.8236624,-0.8280878
142,PL33,50.6218997,-4.7316297
143,CH5,53.2040122,-3.0421400
144,TN22,50.9820991,0.1003886
145,LS19,53.8597280,-1.6839678
146,YO90,53.9597080,-1.0902501
147,S1,53.3800229,-1.4710499
148,DT5,50.5488467,-2.4424653
149,PA71,56.4806916,-5.9815120
150,BA11,51.2332006,-2.3245542
151,NR16,52.4735481,1.0538628
152,SW12,51.4463283,-0.1491401
153,PL1,50.3705757,-4.1542610
154,EH54,55.8923064,-3.5243492
155,SR2,54.8860669,-1.3765988
156,CV31,52.2778388,-1.5246631
157,SW4,51.4611107,-0.1364914
158,PE1,52.5866097,-0.2380334
159,G71,55.8223628,-4.0748284
160,LD2,52.1422615,-3.3937041
161,DN19,53.6841316,-0.3604471
162,KY16,56.3425731,-2.8225656
163,NG23,53.1163408,-0.7998116
164,KY1,56.1288777,-3.1375619
165,BT67,54.4869748,-6.2660667
166,SP9,51.2334590,-1.6649674
167,TQ4,50.4228675,-3.5722576
168,M50,53.4749848,-2.2944426
169,PA30,56.0133320,-5.4494977
170,TS29,54.7107686,-1.4202463
171,BS13,51.4120999,-2.6119989
172,PL9,50.3547404,-4.0872280
173,LA15,54.1558463,-3.1796666
174,DA13,51.3784991,0.3518275
175,BS41,51.4220916,-2.6534866
176,TS3,54.5605009,-1.1968742
177,G70,55.9498770,-3.9879809
178,EH17,55.9054568,-3.1436333
179,PA38,56.5953129,-5.3282856
180,HA6,51.6118666,-0.4224386
181,IV15,57.5993429,-4.4314883
182,BT16,54.5906801,-5.7976783
183,GU16,51.3095532,-0.7260287
184,DD10,56.7487217,-2.4270468
185,BH14,50.7214367,-1.9445851
186,PH10,56.6069517,-3.3593082
187,N14,51.6343428,-0.1308896
188,B15,52.4661665,-1.9233802
189,SS17,51.5216078,0.4376424
190,KA1,55.5952480,-4.4975073
191,TW15,51.4311588,-0.4585262
192,SP6,50.9365589,-1.8023782
193,BH25,50.7528300,-1.6579866
194,CA12,54.6025378,-3.1344633
195,AB51,57.2876297,-2.4038270
196,TN26,51.0964754,0.7973580
197,NE42,54.9620117,-1.8548407
198,NE70,55.5937070,-1.8171698
199,BD9,53.8128852,-1.7924051
200,EX39,51.0152570,-4.2457737
201,WS6,52.6585504,-2.0231546
202,G4,55.8676044,-4.2523731
203,GU4,51.2432497,-0.5403949
204,NE18,55.0378909,-1.8649114
205,G9,55.8687400,-4.2434910
206,CV12,52.4789841,-1.4724008
207,BT40,54.8457073,-5.8237859
208,B3,52.4850123,-1.9024305
209,WF11,53.7117458,-1.2561796
210,PO13,50.8122549,-1.1810192
211,YO12,54.2733410,-0.4249517
212,NE27,55.0329496,-1.5149818
213,SE28,51.5023617,0.1044350
214,WS1,52.5794509,-1.9786869
215,BN3,50.8352718,-0.1777197
216,CH32,53.3619659,-2.9976234
217,ME17,51.2331334,0.6111241
218,M30,53.4843432,-2.3551494
219,CB11,51.9992272,0.2120024
220,S70,53.5411537,-1.4749041
221,CA23,54.5152203,-3.4929534
222,TA18,50.8829255,-2.7874829
223,TR19,50.1001216,-5.6316273
224,GU47,51.3494201,-0.7920355
225,CB8,52.2302078,0.4279081
226,LN5,53.1742178,-0.5568934
227,TN11,51.2070078,0.2646847
228,NE47,54.9286141,-2.2549406
229,WC2N,51.5090810,-0.1248873
230,WS14,52.6640162,-1.8161526
231,RG21,51.2648843,-1.0886279
232,IP29,52.1908970,0.6587294
233,LS18,53.8386122,-1.6395178
234,CF14,51.5198959,-3.2042721
235,SY8,52.3650723,-2.6953443
236,TD6,55.5818814,-2.6932118
237,KW16,58.9608956,-3.2768723
238,SA73,51.7174251,-5.0122032
239,AB56,57.6743925,-2.9288909
240,TW10,51.4477641,-0.3029046
241,DG16,54.9971615,-3.0685694
242,WC1A,51.5201536,-0.1203458
243,SR7,54.8304225,-1.3630969
244,EX10,50.6931776,-3.2466004
245,PH33,56.8218973,-5.1122203
246,S43,53.2676283,-1.3399055
247,B91,52.4139981,-1.7833291
248,DA14,51.4250037,0.1117751
249,DL3,54.5324842,-1.5715984
250,TR2,50.2545424,-4.9504488
251,RM15,51.5087484,0.2762291
252,B30,52.4219610,-1.9277595
253,RG12,51.4067523,-0.7500218
254,WN8,53.5531891,-2.7694762
255,DN40,53.6210283,-0.2267379
256,GL4,51.8406968,-2.2188091
257,W1G,51.5193162,-0.1482679
258,EH3,55.9519117,-3.2070932
259,CV32,52.2979862,-1.5314910
260,M35,53.5072006,-2.1549109
261,LS88,53.7653158,-1.5014304
262,SA33,51.8495123,-4.4408804
263,BN12,50.8139666,-0.4292747
264,CH49,53.3810989,-3.1039353
265,BT7,54.5819589,-5.9245497
266,SW14,51.4653809,-0.2669998
267,HS4,57.8708700,-6.6963068
268,IV12,57.5743529,-3.8644897
269,E11,51.5686864,0.0135501
270,WR6,52.2298799,-2.3821575
271,BS9,51.4873280,-2.6267518
272,BH4,50.7212551,-1.8997372
273,NP7,51.8294388,-3.0112466
274,DA10,51.4417805,0.3049871
275,OX28,51.7869462,-1.4860576
276,NE83,54.9346400,-1.6151031
277,TD5,55.5881056,-2.4173178
278,YO41,53.9705289,-0.9005201
279,WN2,53.5359217,-2.5821236
280,NN9,52.3345261,-0.5945016
281,LN7,53.4932350,-0.3455524
282,SO25,51.0675552,-1.2973027
283,CB6,52.4046657,0.2216208
284,NE4,54.9739843,-1.6445129
285,CH31,53.3297000,-3.0988332
286,BB10,53.7995625,-2.2195134
287,N21,51.6366698,-0.0997398
288,BT77,54.4273568,-7.1188959
289,IV49,57.2290084,-5.9436275
290,WC1X,51.5266751,-0.1151125
291,PL15,50.6330692,-4.3969382
292,DH8,54.8569909,-1.8504107
293,PH24,57.2561205,-3.7449612
294,IV44,57.1087675,-5.8827494
295,NE9,54.9313591,-1.5854323
296,GU51,51.2843531,-0.8424509
297,RG4,51.4827626,-0.9698039
298,WC2E,51.5118792,-0.1233747
299,GL20,52.0022332,-2.1322680
300,TW14,51.4533965,-0.4217772
301,TD9,55.3973065,-2.7767413
302,CA4,54.8471428,-2.8318231
303,GL13,51.6924740,-2.4613325
304,SA13,51.6057851,-3.7258236
305,CM6,51.8783006,0.3661906
306,ME18,51.2417887,0.4154143
307,SL1,51.5178471,-0.6222163
308,HP3,51.7359452,-0.4707053
309,SA68,51.7295615,-4.7650739
310,M45,53.5473467,-2.2903765
311,TN9,51.1916379,0.2749493
312,LL41,52.9694465,-3.9393403
313,PA72,56.5183484,-5.9661761
314,CT1,51.2776176,1.0859171
315,CW3,52.9979416,-2.4084452
316,B6,52.5051401,-1.8860786
317,SW1X,51.4982019,-0.1566313
318,N17,51.5980699,-0.0717424
319,EN11,51.7655817,-0.0091349
320,SY2,52.7055790,-2.7292480
321,LL52,52.9248691,-4.2409055
322,ML7,55.8299394,-3.7954225
323,KW7,58.1867247,-3.5017376
324,OX18,51.7628074,-1.5916671
325,HU15,53.7485753,-0.6207806
326,HR8,52.0447156,-2.4453658
327,SP8,51.0373048,-2.2910983
328,BR1,51.4119969,0.0208833
329,KY99,56.0529028,-3.4360203
330,CH60,53.3264900,-3.0960749
331,BD13,53.7867466,-1.8612838
332,GL52,51.9190904,-2.0581561
333,WS2,52.5892854,-2.0043778
334,NE69,55.6047765,-1.7187958
335,L30,53.4845057,-2.9725553
336,PH6,56.3717976,-3.9999352
337,KT22,51.3015607,-0.3393496
338,PH42,56.9018804,-6.1427489
339,ZE1,60.1514981,-1.1705115
340,SG10,51.8467689,0.0754693
341,DA3,51.3841204,0.3083751
342,LL63,53.2184987,-4.4722288
343,PH20,57.0566670,-4.1475180
344,CT19,51.0890794,1.1679444
345,NG13,52.9486758,-0.9073222
346,NR99,52.6266507,1.3092653
347,LU7,51.9072379,-0.6629591
348,AL7,51.7969028,-0.1872378
349,HP22,51.8076076,-0.7693074
350,WD6,51.6573773,-0.2756334
351,PE14,52.6392767,0.2075469
352,B40,52.4569283,-1.7225262
353,N22,51.5998948,-0.1102841
354,BD17,53.8475875,-1.7683640
355,CO3,51.8844900,0.8563017
356,IP27,52.4302192,0.5819065
357,NP22,51.7712366,-3.2581432
358,SG14,51.8081282,-0.0940096
359,BT20,54.6585904,-5.6655050
360,M23,53.3995570,-2.2889120
361,MK45,52.0216132,-0.4703173
362,BD5,53.7781758,-1.7591405
363,CH42,53.3738774,-3.0227343
364,PA48,55.7384868,-6.3848707
365,S64,53.4907312,-1.2988429
366,B20,52.5155040,-1.9192015
367,LN10,53.1584629,-0.2171187
368,LL44,52.7909039,-4.0972031
369,SA41,51.9952157,-4.7058717
370,TW7,51.4730054,-0.3358063
371,TN16,51.2930684,0.0517089
372,CH33,53.2905598,-3.0626386
373,IV99,57.4813320,-4.2239504
374,WV98,52.4053675,-2.2199919
375,BT37,54.6775107,-5.9080795
376,SW11,51.4681801,-0.1637256
377,PH18,56.7731976,-3.8901941
378,SA5,51.6489448,-3.9712026
379,S13,53.3646431,-1.3836802
380,NR4,52.6120590,1.2566650
381,BN27,50.8718389,0.2634568
382,W8,51.5011337,-0.1943202
383,HU12,53.7238645,-0.1267684
384,KY9,56.2091528,-2.8357263
385,CT50,51.0795333,1.1435601
386,PO41,50.7009701,-1.4750973
387,PL30,50.5017989,-4.7283944
388,SY21,52.6581949,-3.2070323
389,GU25,51.4011369,-0.5718272
390,SW1E,51.4979064,-0.1397427
391,DN38,53.5604981,-0.3911523
392,SA8,51.7217976,-3.8477059
393,YO61,54.1179291,-1.1960242
394,PA5,55.8310416,-4.5097445
395,EH55,55.8464431,-3.5752962
396,NR17,52.5153469,0.9944934
397,SG6,51.9790227,-0.2227304
398,EX15,50.8776038,-3.3405027
399,TF9,52.8968634,-2.4700531
400,IP33,52.2429658,0.7086249
401,NE13,55.0437667,-1.6474838
402,SY5,52.6515091,-2.8328135
403,S95,53.4184381,-1.4036920
404,YO19,53.9059480,-1.0207826
405,BT22,54.5017687,-5.5145457
406,NW8,51.5322682,-0.1745786
407,SG2,51.8965414,-0.1640911
408,PO6,50.8465980,-1.0700466
409,PA43,55.7556052,-6.2841924
410,LS27,53.7486959,-1.6035106
411,KA17,55.6106607,-4.2791346
412,LS10,53.7622905,-1.5325445
413,LL28,53.2878956,-3.7618075
414,SG9,51.9507491,-0.0091601
415,SO31,50.8700098,-1.2998114
416,LL64,53.2287185,-4.5183068
417,OL15,53.6448116,-2.0999458
418,SE23,51.4414858,-0.0491513
419,WA1,53.3942536,-2.5714198
420,IV7,57.5832458,-4.3867307
421,BT45,54.7600743,-6.6390822
422,ME99,51.2783241,0.5190996
423,OL9,53.5391534,-2.1442485
424,PE21,52.9744837,-0.0238791
425,SP7,51.0050805,-2.1843108
426,CF83,51.5867146,-3.2188145
427,PR4,53.7546364,-2.8341777
428,YO32,54.0124771,-1.0593934
429,M31,53.4194153,-2.4242176
430,CT14,51.2167502,1.3854115
431,TF6,52.7362755,-2.5560077
432,AL5,51.8153821,-0.3520548
433,IG7,51.6143123,0.0956944
434,EX18,50.9020189,-3.8876032
435,CH62,53.3342830,-2.9815720
436,HG4,54.1569575,-1.5666498
437,S44,53.2252186,-1.3139748
438,PO16,50.8508807,-1.1591621
439,PO3,50.8162998,-1.0591580
440,CR5,51.3110960,-0.1414477
441,N81,51.5663135,-0.0767356
442,PO40,50.6824755,-1.5218166
443,KT9,51.3639202,-0.3032309
444,EX13,50.7871097,-3.0071442
445,MK4,52.0040459,-0.7842687
446,PO22,50.8001082,-0.6476773
447,PL24,50.3552292,-4.7111784
448,B18,52.4913461,-1.9255863
449,IV19,57.8039848,-4.0627885
450,EH34,55.9082618,-2.8808453
451,BS8,51.4575672,-2.6221985
452,G46,55.8033439,-4.3078361
453,SA63,51.8742755,-4.8563094
454,PR11,53.7945597,-2.6849868
455,CW98,53.0886586,-2.4311449
456,NW2,51.5581501,-0.2202562
457,TN7,51.0960303,0.1026001
458,G84,56.0141483,-4.7557604
459,SM3,51.3712541,-0.2162485
460,RH13,51.0337894,-0.3279851
461,PL7,50.3927332,-4.0456918
462,EH27,55.8907993,-3.4163880
463,BT13,54.6058982,-5.9596444
464,TD7,55.5365991,-2.8730161
465,NG2,52.9348691,-1.1344936
466,LS6,53.8200966,-1.5707608
467,NG8,52.9649766,-1.2134133
468,CA8,54.9394064,-2.6864490
469,RG8,51.5062415,-1.1063426
470,SK1,53.4075932,-2.1515586
471,KY7,56.1977936,-3.1580986
472,GU10,51.1965791,-0.7979139
473,CH30,53.3789453,-3.0984344
474,CF39,51.5999318,-3.4255613
475,WD18,51.6491262,-0.4146492
476,BD8,53.8017321,-1.7839736
477,S61,53.4441131,-1.3949172
478,DG1,55.0735752,-3.5817215
479,IV16,57.6647729,-4.3379167
480,GL55,52.0639021,-1.7695409
481,E1,51.5173859,-0.0595023
482,CM12,51.6282277,0.4145027
483,HX6,53.6968778,-1.9274340
484,M25,53.5283859,-2.2757491
485,S73,53.5244965,-1.3950715
486,PE2,52.5584209,-0.2605213
487,KA11,55.6186396,-4.6276773
488,SA48,52.1449088,-4.1132500
489,HP7,51.6644833,-0.6102425
490,KT14,51.3384121,-0.4882369
491,NR29,52.6942516,1.6362126
492,TA6,51.1256664,-3.0008114
493,CO5,51.8152485,0.8199292
494,SE11,51.4898569,-0.1115597
495,CV33,52.2554168,-1.4875182
496,HP10,51.6083649,-0.6974711
497,DA5,51.4406947,0.1461798
498,BA5,51.2125710,-2.6552733
499,GU30,51.0754992,-0.8042741
500,W1B,51.5143738,-0.1409766
501,BB18,53.9145757,-2.1720306
502,BL0,53.6484286,-2.3169628
503,CT9,51.3833635,1.3892980
504,SY7,52.4254259,-2.8867442
505,PH3,56.3019354,-3.7043969
506,SO41,50.7554651,-1.5665136
507,BA20,50.9379840,-2.6452044
508,B8,52.4911095,-1.8413277
509,PL12,50.4193974,-4.2502369
510,SO30,50.9198664,-1.3069752
511,S74,53.5009685,-1.4411464
512,B16,52.4771886,-1.9342144
513,DL16,54.6989434,-1.6056739
514,TA9,51.2255918,-2.9567138
515,GU21,51.3210516,-0.5804072
516,MK16,52.0896113,-0.7217314
517,SP5,51.0215790,-1.7703510
518,ML8,55.7314933,-3.8429126
519,CA14,54.6346926,-3.5380221
520,B94,52.3495479,-1.7938850
521,TR18,50.1174074,-5.5425056
522,L74,53.3930523,-2.9882833
523,SM4,51.3931470,-0.1996608
524,CM18,51.7552911,0.1060047
525,W1U,51.5187153,-0.1534804
526,WS13,52.6925953,-1.8189572
527,TS21,54.6281830,-1.4287816
528,PE32,52.7278429,0.6349892
529,SS3,51.5432969,0.7891019
530,E8,51.5436904,-0.0661452
531,MK3,51.9937256,-0.7517663
532,E14,51.5061699,-0.0184998
533,M1,53.4774963,-2.2362343
534,TW3,51.4681228,-0.3638733
535,WR99,52.1948626,-2.2031010
536,LE6,52.6570218,-1.2331852
537,NR26,52.9387975,1.2088922
538,WF1,53.6874355,-1.4935886
539,PE37,52.6410311,0.6995141
540,ME9,51.3358666,0.7219229
541,PH15,56.6097022,-3.9407898
542,BN14,50.8340609,-0.3817303
543,DA7,51.4656011,0.1459735
544,EH26,55.8334533,-3.2242391
545,IP28,52.3308885,0.5278417
546,KA23,55.6934667,-4.8575881
547,ML2,55.7768458,-3.9138139
548,BS99,51.4450405,-2.5956233
549,CO7,51.8816629,1.0052818
550,SO14,50.9071878,-1.3973862
551,EH45,55.6544414,-3.1908306
552,KA2,55.5956268,-4.5665250
553,LE67,52.7156016,-1.3623080
554,SY24,52.4727828,-4.0207042
555,KW13,58.4783320,-3.8949963
556,TW17,51.3982100,-0.4476473
557,NG3,52.9695328,-1.1273629
558,EX17,50.8116834,-3.7053311
559,BS35,51.5977668,-2.5487713
560,BT25,54.3959469,-6.1138325
561,HA1,51.5799962,-0.3383049
562,NG14,53.0177831,-1.0390068
563,BA2,51.3592543,-2.3793066
564,DG6,54.8371503,-4.0555469
565,KT20,51.2864936,-0.2311279
566,CW5,53.0619376,-2.5221792
567,CH63,53.3442867,-3.0125451
568,DN18,53.6811955,-0.4476705
569,HP5,51.7128444,-0.6085614
570,RG25,51.2271784,-1.1624243
571,PA19,55.9529227,-4.8261532
572,ME6,51.3228393,0.4347653
573,LL29,53.2891437,-3.7084555
574,BH1,50.7249204,-1.8602459
575,IV24,57.8912204,-4.3559987
576,GU46,51.3385812,-0.8320474
577,LD1,52.2607456,-3.3662735
578,WC2R,51.5116889,-0.1183208
579,TN20,51.0167888,0.2503568
580,FY3,53.8212841,-3.0204371
581,SK5,53.4351388,-2.1525459
582,EH37,55.8613517,-2.9598479
583,G61,55.9191422,-4.3315668
584,DN11,53.4488260,-1.0821884
585,EX23,50.8243103,-4.5328043
586,B12,52.4607564,-1.8836558
587,NP8,51.8618552,-3.1546668
588,BT30,54.3352858,-5.7027260
589,WD19,51.6308706,-0.3906420
590,TA22,51.0456933,-3.5451925
591,PH39,56.9123133,-5.8417320
592,LD6,52.3100474,-3.5092516
593,W1D,51.5133117,-0.1327615
594,NE17,54.9125064,-1.8171473
595,EH48,55.8989296,-3.6648047
596,GL2,51.8431569,-2.2702834
597,TA16,50.9094738,-2.7935591
598,PH43,57.0154066,-6.2814874
599,HS5,57.7653976,-7.0112702
600,SK6,53.4051341,-2.0802790
601,HP14,51.6524063,-0.8387317
602,SE27,51.4305427,-0.1023126
603,EH35,55.9108636,-2.9447636
604,GL7,51.7113826,-1.8967753
